Id,sessions_in_previous_30d,total_previous_sessions,sessions_visited_news,sessions_visited_video,sessions_visited_retail,sessions_visited_ticketing
000126b7-63ab-4fd0-81b4-74ac8a62bdf1,7,141,9,17,7,44
0003a7a9-973a-45a6-a1c0-e3b4dcfd15c6,0,12,3,6,0,1
00466565-bc39-43f3-922a-ce7e7565d8af,0,27,26,13,0,0
00b46479-d90c-4d54-b8d6-d1d025292e93,0,244,56,165,0,6
00fda4c3-972f-46d6-97ec-66acf4c7321a,0,4,2,0,1,0
010401c3-fa5d-4c58-b547-ee4c743bf938,0,20,1,8,1,5
01150931-bf96-4089-9291-f117375497f2,9,47,2,14,0,28
01276e7b-323c-4c26-a774-cd9962c3e969,0,3,1,3,0,1
0141756d-2358-480d-9196-4eff89fe6709,1,1,0,0,0,0
016012bd-bc75-4100-95e6-e43fb00fbaf7,0,18,2,7,1,0
02141254-9abc-4c20-b7a6-ffd6d98cc56a,1,27,4,1,8,11
024f9815-307b-4c69-8596-133a894ebd27,0,3,0,3,0,0
0263f4ed-3122-4463-b83e-1abefe0fd514,57,1063,393,183,5,224
026a019a-94b0-4dc0-975a-a8ea991b4b76,2,2,0,2,0,0
02d822a5-5bab-44c2-ac49-4722e1194f38,0,37,11,28,0,0
0316adcc-4511-44c9-bef9-b31132eda30b,21,378,36,12,39,254
0339e55b-83c9-4862-8105-361fe2aa804d,2,72,10,18,2,62
0357c0f6-c165-400d-9e7b-919ceb78915f,56,147,5,1,1,129
0392199d-fc79-47d4-b9ef-5567a60db20b,1,20,0,6,2,7
03bad05c-bb85-418c-9a9b-c77125600d3d,0,7,0,5,1,2
044c2046-721e-49fe-9e9c-687da14a8cd2,0,4,0,0,0,0
04cc68d1-4b6a-49f0-b0d0-6aa45f8bf714,1,5,0,0,0,2
04ed53cf-2a48-4706-9190-ee56b3186dc1,3,8,2,1,0,0
0506eff9-6d3e-48ee-a7b7-fa0b9f187342,1,28,0,1,0,5
051d8324-41be-4681-8288-e75e88996507,4,18,1,15,0,0
05279512-6433-40c4-95d5-fdc2eb08f1af,5,73,10,4,13,37
05419f39-8f90-4781-b655-50884ea3a817,2,8,0,0,0,4
05510d71-191c-4350-a6ea-3ce99e206cfd,2,24,0,0,1,24
